,id,check-in,check-out,titulo,titulo_2,atributo_1,atributo_2,atributo_3,atributo_4,atributo_5,atributo_6,atributo_7,atributo_8,avaliação,comentários,preço,preço_total,superhost
102,46197271,2021-03-05,2021-03-07,Casa inteira em Jardim Peruibe,Lar Doce Lar-Casa para final de semana e temporada,8 hóspedes,3 quartos,5 camas,2 banheiros,Wi-Fi,Piscina,Cozinha,Estacionamento gratuito,5.0,10,404,807,Raridade
103,46690967,2021-03-05,2021-03-07,Quarto inteiro em Parque Balneario Oasis,"Suíte 7 varanda "" Por do Sol """,2 hóspedes,1 quarto,1 cama,1 banheiros privado,Wi-Fi,Ar-condicionado,Piscina,Vista para o mar,5.0,5,158,375,Novo preço mais baixo
105,29684686,2021-03-12,2021-03-14,Casa inteira em Peruíbe,Casa do Carlos  em Peruíbe.,4 hóspedes,Estúdio,1 cama,1 banheiro,Piscina,Wi-Fi,Estacionamento gratuito,Cozinha,4.94,68,237,593,Raridade
106,41129581,2021-03-19,2021-03-21,Quarto inteiro em Peruíbe,Pousada Suíte c/ Piscina e Ar Cond - 100m do mar,2 hóspedes,1 quarto,1 cama,1 banheiros privado,Wi-Fi,Ar-condicionado,Piscina,Estacionamento gratuito,4.91,45,134,317,Raridade
107,39122509,2021-03-19,2021-03-21,Quarto inteiro em Parque Balneario Oasis,"Suíte 4 ""Aconchego ""c/piscina,ar cond 100 M Praia",2 hóspedes,1 quarto,1 cama,1 banheiros privado,Wi-Fi,Ar-condicionado,Piscina,Vista para o mar,5.0,7,135,329,Novo preço mais baixo
108,38460602,2021-03-19,2021-03-21,Condomínio inteiro em Centro,"Peruibe com piscina, churrasqueira, frente a praia",5 hóspedes,1 quarto,4 camas,2 banheiros,Wi-Fi,Piscina,Cozinha,Estacionamento gratuito,4.75,45,261,571,Raridade
109,46690967,2021-03-19,2021-03-21,Quarto inteiro em Parque Balneario Oasis,"Suíte 7 varanda "" Por do Sol """,2 hóspedes,1 quarto,1 cama,1 banheiros privado,Wi-Fi,Ar-condicionado,Piscina,Vista para o mar,5.0,5,158,375,Novo preço mais baixo
110,30030388,2021-03-19,2021-03-21,Apartamento inteiro em Peruíbe,Apartamento frente ao mar no centro,5 hóspedes,2 quartos,15 camas,2 banheiros,Wi-Fi,Cozinha,Estacionamento gratuito,Elevador,4.46,47,228,456,Novo preço mais baixo
111,41129504,2021-03-19,2021-03-21,Quarto inteiro em Peruíbe,Pousada SuíteQ p/3 c/Piscina e Ar Cond-100m do mar,3 hóspedes,1 quarto,2 camas,1 banheiros privado,Wi-Fi,Ar-condicionado,Piscina,Estacionamento gratuito,4.86,29,145,340,Raridade
112,26779107,2021-03-05,2021-03-07,Casa inteira em Estância Bal Maria H Novaes,Casa aconchegante em Peruíbe! 20 mts da Praia!,10 hóspedes,3 quartos,9 camas,2 banheiros,Piscina,Wi-Fi,Estacionamento gratuito,Cozinha,4.84,43,360,970,Novo preço mais baixo
