,id,check-in,check-out,titulo,titulo_2,atributo_1,atributo_2,atributo_3,atributo_4,atributo_5,atributo_6,atributo_7,atributo_8,avaliação,comentários,preço,preço_total,superhost
675,47248981,2021-04-02,2021-04-04,Loft inteiro em Ilha Porchat,"Paraíso sobre o Mar, Ilha Porchat🏝 😍🍹🍹😍",2 hóspedes,1 quarto,1 cama,1 banheiro,Wi-Fi,Vista para as águas,Estacionamento gratuito,Vista para o mar,5.0,8,351,822,Raridade
677,21675628,2021-04-02,2021-04-04,Apartamento inteiro em José Menino,Studio Holliday - Linda vista da praia (Santos/SP),4 hóspedes,Estúdio,1 cama,1 banheiro,Ar-condicionado,Wi-Fi,Self check-In,Elevador,4.93,85,175,470,Raridade
678,15080287,2021-04-02,2021-04-04,Apartamento inteiro em Santos,De frente para a praia com Wi-Fi,2 hóspedes,1 quarto,1 cama,1 banheiro,Ar-condicionado,Wi-Fi,Self check-In,Elevador,4.89,167,183,527,Raridade
679,44419309,2021-04-02,2021-04-04,Apartamento inteiro em José Menino,Charmoso apartamento em Santos na quadra da praia,4 hóspedes,1 quarto,1 cama,1 banheiro,Ar-condicionado,Wi-Fi,Estacionamento gratuito,Cozinha,4.83,24,257,514,Raridade
680,47137774,2021-04-09,2021-04-11,Quarto inteiro em Jardim Las Palmas,✔Suíte Privada | Cama Queen | AC | Piscina | Praia,2 hóspedes,1 quarto,1 cama,1 banheiros privado,Ar-condicionado,Wi-Fi,Piscina,Estacionamento gratuito,5.0,14,194,388,Raridade
681,34021661,2021-04-09,2021-04-11,Apartamento inteiro em Aparecida,Kitnet confortável na Orla da Praia/ Santos,2 hóspedes,1 quarto,4 camas,1 banheiro e meio,Ar-condicionado,Wi-Fi,Self check-In,Elevador,4.85,39,144,388,Raridade
682,45020057,2021-04-09,2021-04-11,Apartamento inteiro em José Menino,Book Santos - Unlimited 911 - Estúdio Elegância,4 hóspedes,1 quarto,1 cama,1 banheiro,Ar-condicionado,Wi-Fi,Self check-In,Jacuzzi,4.92,24,327,784,Raridade
683,31518817,2021-04-09,2021-04-11,Apartamento inteiro em Centro,Kitnet em frente à praia - Gonzaguinha - S Vicente,6 hóspedes,1 quarto,1 cama,1 banheiro,Self check-In,Elevador,Vista para o mar,Cozinha,4.62,79,137,274,Raridade
684,34021661,2021-04-16,2021-04-18,Apartamento inteiro em Aparecida,Kitnet confortável na Orla da Praia/ Santos,2 hóspedes,1 quarto,4 camas,1 banheiro e meio,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,4.85,39,144,388,Raridade
685,47137774,2021-04-16,2021-04-18,Quarto inteiro em Jardim Las Palmas,✔Suíte Privada | Cama Queen | AC | Piscina | Praia,2 hóspedes,1 quarto,1 cama,1 banheiros privado,Wi-Fi,Ar-condicionado,Piscina,Cozinha,5.0,14,194,388,Raridade
687,31518817,2021-04-16,2021-04-18,Apartamento inteiro em Centro,Kitnet em frente à praia - Gonzaguinha - S Vicente,6 hóspedes,1 quarto,1 cama,1 banheiro,Cozinha,Elevador,Self check-In,Vista para o mar,4.62,79,137,274,Raridade
689,45326560,2021-04-02,2021-04-04,Apartamento inteiro em Gonzaga,Apartamento Inteiro com acesso à praia do Gonzaga,4 hóspedes,1 quarto,2 camas,1 banheiro,Ar-condicionado,Wi-Fi,Estacionamento gratuito,Permitido animais,5.0,7,147,444,Raridade
