,id,check-in,check-out,titulo,titulo_2,atributo_1,atributo_2,atributo_3,atributo_4,atributo_5,atributo_6,atributo_7,atributo_8,avaliação,comentários,preço,preço_total,superhost
39,47517305,2021-01-29,2021-01-31,Apartamento inteiro em Gonzaga,Book Santos - Estanconfor 2010 - Sacada ampla com a melhor vista Mar,4 hóspedes,1 quarto,1 cama,1 banheiro,Wi-Fi,Self check-In,Secadora,Vista para as águas,4.67,3,337,804,Raridade
40,40060303,2021-01-29,2021-01-31,Apartamento inteiro em Aparecida,Santos Apto frente ao Mar Próx. Shop Praiamar SESC,8 hóspedes,3 quartos,5 camas,2 banheiros,Wi-Fi,Self check-In,Máquina de Lavar,Ar-condicionado,4.95,20,300,800,Novo preço mais baixo
41,35258533,2021-01-29,2021-01-31,Apartamento inteiro em José Menino,Lindo e aconchegante apartamento em Santos,4 hóspedes,1 quarto,2 camas,1 banheiro,Wi-Fi,Self check-In,Jacuzzi,Ar-condicionado,4.94,32,455,1.059,Novo preço mais baixo
42,28105266,2021-01-29,2021-01-31,Apartamento inteiro em Boqueirão,"Delicioso ap. em Santos
Varanda com vista pro mar",8 hóspedes,3 quartos,6 camas,2 banheiros,Wi-Fi,Self check-In,Máquina de Lavar,Ar-condicionado,4.96,55,365,879,Novo preço mais baixo
43,41886804,2021-01-29,2021-01-31,Apartamento inteiro em Jardim Tres Marias,AP 350 m da Praia Enseada-serviço de praia e Wi-Fi,7 hóspedes,3 quartos,5 camas,2 banheiros,Wi-Fi,Entrada/saída para esquis,Máquina de Lavar,Estacionamento gratuito,4.88,26,353,865,Novo preço mais baixo
44,47137946,2021-01-29,2021-01-31,Apartamento inteiro em José Menino,BOOK SANTOS - Unlimited 1403 - Duplex vista Mar,5 hóspedes,2 quartos,4 camas,2 banheiros,Wi-Fi,Vista para as águas,Jacuzzi,Ar-condicionado,5.0,5,475,1.079,Novo preço mais baixo
45,47137946,2021-01-29,2021-01-31,Apartamento inteiro em José Menino,BOOK SANTOS - Unlimited 1403 - Duplex vista Mar,5 hóspedes,2 quartos,4 camas,2 banheiros,Wi-Fi,Ar-condicionado,Piscina,Cozinha,5.0,5,475,1.079,Novo preço mais baixo
46,28105266,2021-01-29,2021-01-31,Apartamento inteiro em Boqueirão,"Delicioso ap. em Santos
Varanda com vista pro mar",8 hóspedes,3 quartos,6 camas,2 banheiros,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,4.96,55,365,879,Novo preço mais baixo
47,20411125,2021-01-29,2021-01-31,Apartamento inteiro em São Vicente,Apartamento inteiro livre com total privacidade.,4 hóspedes,1 quarto,1 cama,1 banheiro,Cozinha,Estacionamento gratuito,Permitido animais,Elevador,4.32,117,139,304,Novo preço mais baixo
48,22577411,2021-01-29,2021-01-31,Apartamento inteiro em José Menino,Delícia de apartamento com vista ao Mar,6 hóspedes,1 quarto,4 camas,1 banheiro,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,4.94,54,262,673,Raridade
49,23175564,2021-01-29,2021-01-31,Condomínio inteiro em Aparecida,"Venha viver a Natureza, prédio frente  praia",4 hóspedes,1 quarto,2 camas,1 banheiro,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,4.78,83,171,422,Novo preço mais baixo
51,30289911,2021-01-29,2021-01-31,Flat inteiro em Boqueirão,Apartamento Flat com serviço,4 hóspedes,1 quarto,4 camas,1 banheiro,Wi-Fi,Ar-condicionado,Piscina,Cozinha,4.66,104,371,742,Novo preço mais baixo
52,25068887,2021-01-29,2021-01-31,Apartamento inteiro em Itararé,Apartamento  Macapa,4 hóspedes,2 quartos,3 camas,1 banheiro,Cozinha,Estacionamento gratuito,Permitido animais,Elevador,4.82,22,246,571,Novo preço mais baixo
