,id,check-in,check-out,titulo,titulo_2,atributo_1,atributo_2,atributo_3,atributo_4,atributo_5,atributo_6,atributo_7,atributo_8,avaliação,comentários,preço,preço_total,superhost
36,39056674,2021-02-26,2021-02-28,Casa inteira em Quinta do Guarau,Casa no centrinho do GUARAÚ.,5 hóspedes,2 quartos,4 camas,1 banheiro,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,4.96,45,315,730,Raridade
37,31643433,2021-02-26,2021-02-28,Casa inteira em Jd Marcia II,"Sonho da Vovó Lélia! Casa inteira - Peruíbe, SP.",8 hóspedes,3 quartos,5 camas,2 banheiros,Ar-condicionado,Cozinha,Estacionamento gratuito,Permitido animais,4.67,9,218,635,Raridade
38,31913930,2021-02-19,2021-02-21,Casa inteira em Bal Tres Marias,Casa com piscina para curtir com a família-Peruíbe,10 hóspedes,2 quartos,4 camas,3 banheiros,Piscina,Wi-Fi,Estacionamento gratuito,Cozinha,4.82,34,581,1.312,Raridade
40,40947313,2021-02-26,2021-02-28,Casa inteira em Balneário Garça Vermelha,"Casa do Guaraú
Duas suítes a 500metros da praia",6 hóspedes,2 quartos,3 camas,3 banheiros,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,5.0,16,319,787,Raridade
41,41062060,2021-02-26,2021-02-28,Casa inteira em Vila Peruibe,Condomínio Bonganville 3,10 hóspedes,3 quartos,7 camas,2 banheiros,Piscina,Wi-Fi,Estacionamento gratuito,Cozinha,4.53,30,457,913,Raridade
42,20194437,2021-02-26,2021-02-28,Casa inteira em Vila Romar,Cantinho de Deus,5 hóspedes,1 quarto,4 camas,1 banheiro,Piscina,Wi-Fi,Estacionamento gratuito,Cozinha,5.0,15,350,799,Novo preço mais baixo
43,41576021,2021-02-26,2021-02-28,Casa inteira em Parque Oasis,"Casa em Peruibe,100mt da praia",12 hóspedes,5 quartos,9 camas,4 banheiros,Piscina,Wi-Fi,Estacionamento gratuito,Cozinha,4.67,16,528,1.255,Novo preço mais baixo
44,40949574,2021-02-19,2021-02-21,Casa inteira em Peruíbe,Lar Das Camélias,10 hóspedes,3 quartos,8 camas,2 banheiros,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,4.67,4,372,924,Novo preço mais baixo
46,32547945,2021-02-26,2021-02-28,Casa inteira em Estância Balneária Belmira Nova,CASA PRAIA PERUÍBE 340m PISCINA WIFI CHURRASQUEIRA,10 hóspedes,3 quartos,7 camas,2 banheiros,Wi-Fi,Ar-condicionado,Piscina,Cozinha,4.92,13,617,1.383,Novo preço mais baixo
49,45722207,2021-02-19,2021-02-21,Casa inteira em Parque Oasis,Casa aconchegante,8 hóspedes,3 quartos,6 camas,3 banheiros,Piscina,Wi-Fi,Estacionamento gratuito,Cozinha,5.0,6,760,1.769,Novo preço mais baixo
50,37830479,2021-02-26,2021-02-28,Casa inteira em Balneario Gaivotas,Casa com Piscina Em Itanhaém,12 hóspedes,3 quartos,12 camas,2 banheiros e meio,Wi-Fi,Piscina,Cozinha,Estacionamento gratuito,5.0,6,492,1.164,Novo preço mais baixo
51,46082679,2021-02-26,2021-02-28,Casa inteira em Gaivota - Praia,"Casa aconchegante, área de lazer e churrasqueira.",15 hóspedes,3 quartos,12 camas,3 banheiros,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,5.0,3,295,738,Novo preço mais baixo
53,45590553,2021-02-19,2021-02-21,Casa inteira em Vila Romar,Casa de praia com piscina 15 pessoas em Peruíbe SP,15 hóspedes,5 quartos,8 camas,5 banheiros,Cozinha,Estacionamento gratuito,Piscina,Permitido animais,4.67,3,913,1.826,Novo preço mais baixo
54,41130504,2021-02-19,2021-02-21,Quarto inteiro em Parque Balneario Oasis,Pousada Suíte p/3 c/Ar Cond e Piscina -100m do mar,3 hóspedes,1 quarto,2 camas,1 banheiros privado,Wi-Fi,Ar-condicionado,Piscina,Estacionamento gratuito,4.91,35,145,340,Raridade
55,46879880,2021-02-19,2021-02-21,Quarto inteiro em Parque Balneario Oasis,"Suíte 5 varanda "" Sol Nascente""",2 hóspedes,1 quarto,1 cama,1 banheiros privado,Wi-Fi,Ar-condicionado,Piscina,Vista para o mar,5.0,3,158,375,Novo preço mais baixo
56,46690967,2021-02-19,2021-02-21,Quarto inteiro em Parque Balneario Oasis,"Suíte 7 varanda "" Por do Sol """,2 hóspedes,1 quarto,1 cama,1 banheiros privado,Wi-Fi,Ar-condicionado,Piscina,Vista para o mar,5.0,5,158,375,Novo preço mais baixo
57,22587763,2021-02-19,2021-02-21,Casa inteira em Peruibe,"Sobrado em frente à praia Beira-mar, Peruíbe.Wi-Fi",10 hóspedes,2 quartos,4 camas,1 banheiro,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,4.85,109,235,470,Novo preço mais baixo
58,40947313,2021-02-19,2021-02-21,Casa inteira em Balneário Garça Vermelha,"Casa do Guaraú
Duas suítes a 500metros da praia",6 hóspedes,2 quartos,3 camas,3 banheiros,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,5.0,16,330,810,Novo preço mais baixo
59,39056674,2021-02-19,2021-02-21,Casa inteira em Quinta do Guarau,Casa no centrinho do GUARAÚ.,5 hóspedes,2 quartos,4 camas,1 banheiro,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,4.96,45,287,673,Raridade
60,45771317,2021-02-19,2021-02-21,Quarto inteiro em Parque Balneario Oasis,"Suíte 1 Master Família varanda ""Nascer do Sol """,4 hóspedes,1 quarto,3 camas,1 banheiros privado,Wi-Fi,Ar-condicionado,Piscina,Vista para o mar,5.0,3,226,511,Novo preço mais baixo
61,46875225,2021-02-26,2021-02-28,Casa inteira em Parque Balneario Oasis,Casa Rosa de Peruíbe,10 hóspedes,3 quartos,8 camas,2 banheiros,Piscina,Wi-Fi,Estacionamento gratuito,Cozinha,4.43,7,348,696,Raridade
68,33703620,2021-02-19,2021-02-21,Casa inteira em Balneario São João Batista II,"Casa Inteira, espaçosa e super aconchegante ;)",8 hóspedes,2 quartos,4 camas,2 banheiros,Wi-Fi,Cozinha,Estacionamento gratuito,Secadora,5.0,27,246,592,Novo preço mais baixo
69,31913930,2021-02-19,2021-02-21,Casa inteira em Bal Tres Marias,Casa com piscina para curtir com a família-Peruíbe,10 hóspedes,2 quartos,4 camas,3 banheiros,Wi-Fi,Piscina,Cozinha,Estacionamento gratuito,4.82,34,581,1.312,Raridade
70,40947313,2021-02-26,2021-02-28,Casa inteira em Balneário Garça Vermelha,"Casa do Guaraú
Duas suítes a 500metros da praia",6 hóspedes,2 quartos,3 camas,3 banheiros,Wi-Fi,Self check-In,Ar-condicionado,Máquina de Lavar,5.0,16,319,787,Raridade
72,32547945,2021-02-19,2021-02-21,Casa inteira em Estância Balneária Belmira Nova,CASA PRAIA PERUÍBE 340m PISCINA WIFI CHURRASQUEIRA,10 hóspedes,3 quartos,7 camas,2 banheiros,Wi-Fi,Ar-condicionado,Máquina de Lavar,Cozinha,4.92,13,684,1.518,Novo preço mais baixo
75,45206130,2021-02-19,2021-02-21,Casa inteira em Estância Bal Maria H Novaes,Casa de praia com piscina e área gourmet,16 hóspedes,4 quartos,8 camas,3 banheiros e meio,Ar-condicionado,Cozinha,Estacionamento gratuito,Piscina,5.0,3,870,1.940,Novo preço mais baixo
83,31913930,2021-02-19,2021-02-21,Casa inteira em Bal Tres Marias,Casa com piscina para curtir com a família-Peruíbe,10 hóspedes,2 quartos,4 camas,3 banheiros,Wi-Fi,Máquina de Lavar,Cozinha,Estacionamento gratuito,4.82,34,581,1.312,Raridade
84,20194437,2021-02-19,2021-02-21,Casa inteira em Vila Romar,Cantinho de Deus,5 hóspedes,1 quarto,4 camas,1 banheiro,Wi-Fi,Cozinha,Estacionamento gratuito,Piscina,5.0,15,350,799,Novo preço mais baixo
85,36266946,2021-02-19,2021-02-21,Casa inteira em Parque Turistico,"Vida boa com sol, mar, piscina e amigos!!!",10 hóspedes,3 quartos,8 camas,2 banheiros,Máquina de Lavar,Cozinha,Estacionamento gratuito,Piscina,4.97,29,584,1.347,Novo preço mais baixo
86,33703620,2021-02-19,2021-02-21,Casa inteira em Balneario São João Batista II,"Casa Inteira, espaçosa e super aconchegante ;)",8 hóspedes,2 quartos,4 camas,2 banheiros,Wi-Fi,Secadora,Cozinha,Estacionamento gratuito,5.0,27,246,592,Novo preço mais baixo
87,41062060,2021-02-19,2021-02-21,Casa inteira em Vila Peruibe,Condomínio Bonganville 3,10 hóspedes,3 quartos,7 camas,2 banheiros,Piscina,Wi-Fi,Estacionamento gratuito,Cozinha,4.53,30,457,913,Raridade
