,Mes,Número Banheiros,Número Camas,Número Comentários,Número Hóspedes,Taxa,Semana_do_ano,Jacuzzi,Academia,Secadora,Localização,Piscina,Permitido animais,Preço/Noite
1515,4,1,3,15,5,50.0,13,0,0,0,0.02946067949631741,0,0,103.0
1516,2,1,1,19,3,74.5,7,0,0,0,0.05203136136849608,0,0,262.0
1517,3,1,1,90,3,34.5,10,0,0,0,0.0016631028747921119,0,0,108.0
1518,4,1,1,24,2,30.0,15,0,0,0,0.0047517224994060355,0,0,164.0
1519,3,2,9,7,12,50.0,11,0,0,1,0.009028272748871463,1,0,338.0
1520,3,2,7,23,13,40.0,10,0,0,0,0.0030886196246139226,1,0,462.0
1521,2,2,3,3,8,64.5,6,0,0,0,0.03183654074602043,0,1,230.0
1522,4,1,2,82,4,64.5,16,0,0,0,0.057020669992872426,1,0,343.0
1523,2,2,1,43,2,75.0,7,0,0,0,0.04276550249465432,0,0,131.0
1524,2,1,1,4,2,39.5,6,0,0,0,0.029698265621287717,0,0,223.0
1525,3,2,4,59,6,44.5,12,0,0,0,0.04276550249465432,0,0,209.0
1526,2,1,3,16,4,0.0,6,0,0,0,0.0007127583749109052,0,0,128.0
1527,2,2,2,54,6,69.5,7,0,0,1,0.05203136136849608,0,0,253.0
1528,2,1,2,6,4,65.0,8,0,0,0,0.06319790924210028,0,0,344.0
1529,3,3,6,6,8,124.5,10,0,0,0,0.0023758612497030173,1,0,760.0
1530,4,1,1,7,2,50.0,15,0,0,0,0.015205511998099313,0,0,110.0
1531,2,1,1,30,2,47.5,7,0,1,1,0.004514136374435733,0,0,99.0
1532,3,1,2,58,6,50.0,12,0,0,0,0.03183654074602043,0,1,178.0
1533,3,3,6,49,8,119.5,9,0,0,0,0.0014255167498218105,1,0,952.0
1534,3,1,3,12,4,119.5,9,0,0,0,0.057020669992872426,0,0,183.0
1535,3,1,3,129,4,20.0,11,0,0,0,0.029698265621287717,0,0,140.0
1536,4,1,1,104,4,25.0,13,0,0,1,0.02066999287241625,0,0,209.0
1537,3,1,1,90,3,34.5,11,0,0,0,0.0016631028747921119,0,0,108.0
1538,2,1,3,35,5,60.0,8,0,0,0,0.02946067949631741,0,0,157.0
1539,4,1,2,45,3,0.0,16,0,0,0,0.015443098123069612,0,0,147.0
1540,3,1,2,51,4,39.5,9,0,0,0,0.057020669992872426,1,0,263.0
1541,1,1,2,11,3,77.5,4,0,0,0,0.029698265621287717,0,0,148.0
1542,3,1,2,51,3,40.0,11,0,0,0,0.06319790924210028,0,1,107.0
