,ID,Check-In,Check-Out,Localização,Número Hóspedes,Número Quartos,Número Camas,Número Banheiros,Avaliação,Número Comentários,Preço/Noite,Preço com taxas,Vista para o mar,Piscina,Lava-louças,Wi-Fi,Café da Manhã,Máquina de Lavar,Estacionamento gratuito,Academia,Jacuzzi,Secadora,Entrada/saída para esquis,Cozinha,Vista para as águas,Permitido animais,Lareira interna,Ar-condicionado,Self check-In,Elevador,Novo preço mais baixo,Raridade,Banheiro Compartilhado
195,24206250,2021-02-26,2021-02-28,Vila Julia,6,2,6,1,4.39,46,146.0,411.0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,True
315,31096775,2021-02-12,2021-02-14,Aviação,7,2,3,1,4.82,38,217.0,434.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,False
5085,41062060,2021-03-05,2021-03-07,Casa inteira em Vila Peruibe,10,3,7,2,4.53,30,457.0,913.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
4359,45696491,2021-02-19,2021-02-21,Casa inteira em Suarão,8,2,3,3,4.79,19,688.0,1415.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
2236,43043506,2021-03-26,2021-03-28,Gonzaga,5,2,3,2,4.88,33,314.0,627.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,False
2605,31518817,2021-04-23,2021-04-25,Centro,6,1,1,1,4.62,79,137.0,274.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,False
2279,43043506,2021-04-16,2021-04-18,Gonzaga,5,2,3,2,4.88,33,314.0,627.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
4539,41132118,2021-03-19,2021-03-21,Parque Balneario Oasis,3,1,2,1,4.75,24,145.0,340.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,True
4655,44641452,2021-03-19,2021-03-21,Casa inteira em Savoy,6,1,6,1,5.0,3,213.0,525.0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,False
1796,20713038,2021-02-12,2021-02-14,Itararé,2,1,1,1,4.28,65,156.0,342.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,False
4691,20774709,2021-03-12,2021-03-14,"Guarujá, Pitangueiras Centro",4,1,3,1,4.49,98,188.0,456.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,False
3100,31436143,2021-01-29,2021-01-31,Santos,4,1,2,1,4.88,34,383.0,896.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
1237,24115709,2021-03-12,2021-03-14,Santos,3,1,4,1,4.95,107,150.0,394.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
4967,38672196,2021-03-26,2021-03-28,Nova Mirim,3,1,1,1,4.87,30,211.0,502.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
2929,44433886,2021-01-29,2021-01-31,Balneario Cidade Atlantica,2,1,1,1,4.92,26,323.0,696.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
607,35229820,2021-03-26,2021-03-28,Barra Funda,6,2,3,1,4.84,63,239.0,628.0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,False
617,40945881,2021-03-26,2021-03-28,Guarujá,4,1,4,1,4.83,41,187.0,434.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,False
3691,38125377,2021-02-26,2021-02-28,Sé,2,1,1,1,4.82,87,99.0,283.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
4732,45760542,2021-03-19,2021-03-21,Parque Balneario Oasis,2,1,1,1,5.0,3,158.0,375.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,True
3499,28685495,2021-03-05,2021-03-07,Vila Tupi,6,1,4,1,4.66,79,136.0,272.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,False
4915,31643433,2021-03-26,2021-03-28,Casa inteira em Jd Marcia II,8,3,5,2,4.67,9,218.0,635.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,False
897,47335552,2021-03-05,2021-03-07,Maitinga,4,1,2,1,4.5,6,118.0,285.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
3519,39763299,2021-03-05,2021-03-07,José Menino,3,1,2,1,4.65,51,107.0,294.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,False
