,ID,Check-In,Check-Out,Localização,Número Hóspedes,Número Quartos,Número Camas,Número Banheiros,Avaliação,Número Comentários,Preço/Noite,Preço com taxas,Piscina,Lava-louças,Wi-Fi,Café da Manhã,Máquina de Lavar,Estacionamento gratuito,Academia,Jacuzzi,Secadora,Entrada/saída para esquis,Cozinha,Permitido animais,Lareira interna,Ar-condicionado,Self check-In,Elevador,Novo preço mais baixo,Raridade,Banheiro Compartilhado,Diária com taxas,Taxa,Vista,Demanda,É_feriado,É outilier,Mes,Dia,Semana_do_ano,Semana de Feriado
19,40133804,2021-03-26,2021-03-28,0.042765502494654314,6,2,5,2,4.73,22,323.0,646.0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,False,323.0,0.0,0,0,0,0,3,26,12,0.0
20,40067438,2021-03-05,2021-03-07,0.026847232121644096,4,1,2,1,4.94,18,128.0,365.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,False,182.5,54.5,0,0,0,0,3,5,9,0.0
21,46110784,2021-02-26,2021-02-28,0.05203136136849608,5,1,3,1,4.36,11,232.0,593.0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,False,296.5,64.5,0,0,0,0,2,26,8,0.0
22,32473078,2021-02-19,2021-02-21,0.08885721073889286,5,1,4,1,4.83,18,278.0,696.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,False,348.0,70.0,0,1,0,0,2,19,7,0.0
23,39831271,2021-02-26,2021-02-28,0.05702066999287242,5,2,4,2,5.0,15,250.0,650.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,True,325.0,75.0,0,0,0,0,2,26,8,0.0
24,44376685,2021-01-29,2021-01-31,0.06319790924210027,5,2,4,2,5.0,13,559.0,1268.0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,True,634.0,75.0,0,0,0,0,1,29,4,0.0
25,47517305,2021-01-29,2021-01-31,0.05702066999287242,4,1,1,1,4.67,3,337.0,804.0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,False,402.0,65.0,0,0,0,0,1,29,4,0.0
26,41493308,2021-03-26,2021-03-28,0.01235447849845569,4,1,2,1,4.63,8,111.0,342.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,False,171.0,60.0,0,0,0,0,3,26,12,0.0
27,1524863,2021-04-09,2021-04-11,0.08885721073889286,4,1,2,2,4.78,137,164.0,418.0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,False,209.0,45.0,0,1,0,0,4,9,14,0.0
28,21475047,2021-03-19,2021-03-21,0.012116892373485389,7,2,4,2,4.88,115,340.0,844.0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,True,422.0,82.0,0,0,0,0,3,19,11,0.0
29,30524886,2021-02-19,2021-02-21,0.010453789498693276,2,1,2,1,4.56,39,158.0,466.0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,False,233.0,75.0,0,0,0,0,2,19,7,0.0
30,31436143,2021-02-19,2021-02-21,0.08885721073889286,4,1,2,1,4.89,35,329.0,788.0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,False,394.0,65.0,0,1,0,0,2,19,7,0.0
31,39499342,2021-02-26,2021-02-28,0.029460679496317414,4,1,3,1,5.0,18,184.0,488.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,False,244.0,60.0,0,0,0,0,2,26,8,0.0
32,22896213,2021-02-12,2021-02-14,0.007602755999049656,4,1,1,1,4.91,90,331.0,662.0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,False,331.0,0.0,0,0,0,0,2,12,6,0.0
33,44642259,2021-03-19,2021-03-21,0.03183654074602043,6,2,7,3,4.96,25,254.0,628.0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,False,314.0,60.0,0,0,0,0,3,19,11,0.0
34,17181301,2021-02-19,2021-02-21,0.029460679496317414,4,1,3,2,5.0,27,427.0,1153.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,False,576.5,149.5,0,0,0,0,2,19,7,0.0
35,41493308,2021-03-05,2021-03-07,0.01235447849845569,4,1,2,1,4.63,8,111.0,342.0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,False,171.0,60.0,0,0,0,0,3,5,9,0.0
36,36033418,2021-03-19,2021-03-21,0.08885721073889286,4,1,2,1,4.83,47,415.0,908.0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,False,454.0,39.0,0,1,0,0,3,19,11,0.0
37,45591346,2021-03-19,2021-03-21,0.004989308624376337,6,3,4,3,4.89,9,559.0,1267.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,False,633.5,74.5,0,0,0,0,3,19,11,0.0
38,47098732,2021-03-05,2021-03-07,0.001663102874792112,8,2,4,3,5.0,3,289.0,628.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,False,314.0,25.0,0,0,0,0,3,5,9,0.0
39,38039978,2021-03-26,2021-03-28,0.08885721073889286,4,1,2,1,4.64,50,288.0,576.0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,False,288.0,0.0,0,1,0,0,3,26,12,0.0
40,45177742,2021-02-19,2021-02-21,0.00023758612497030174,2,1,1,1,4.91,11,164.0,428.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,False,214.0,50.0,0,0,0,0,2,19,7,0.0
41,40134770,2021-03-26,2021-03-28,0.042765502494654314,6,2,5,2,4.86,21,323.0,646.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,False,323.0,0.0,0,0,0,0,3,26,12,0.0
42,19679952,2021-03-12,2021-03-14,0.015443098123069612,8,2,7,2,4.86,108,287.0,573.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,False,286.5,0.0,2,0,0,0,3,12,10,0.0
43,46604376,2021-02-26,2021-02-28,0.029698265621287717,4,1,2,1,5.0,10,180.0,240.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,False,120.0,0.0,1,0,0,0,2,26,8,0.0
44,1524863,2021-03-26,2021-03-28,0.08885721073889286,4,1,2,2,4.78,137,155.0,399.0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,False,199.5,44.5,0,1,0,0,3,26,12,0.0
45,42517975,2021-03-26,2021-03-28,0.03349964362081254,2,1,2,1,4.36,11,108.0,285.0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,False,142.5,34.5,0,0,0,0,3,26,12,0.0
