,Localização,Número Banheiros,Número Camas,Número Comentários,Número Hóspedes,Taxa,Jacuzzi,Piscina,Semana_do_ano,Academia,Permitido animais,Preço/Noite
34,0.02946067949631741,2,3,27,4,149.5,0,1,7,0,0,427.0
35,0.01235447849845569,1,2,8,4,60.0,0,0,9,0,0,111.0
36,0.08885721073889286,1,2,47,4,39.0,0,1,11,0,0,415.0
37,0.004989308624376337,3,4,9,6,74.5,0,1,11,0,0,559.0
38,0.0016631028747921119,3,4,3,8,25.0,0,1,9,0,0,289.0
39,0.08885721073889286,1,2,50,4,0.0,0,1,12,0,0,288.0
40,0.0002375861249703017,1,1,11,2,50.0,0,0,7,1,0,164.0
41,0.04276550249465432,2,5,21,6,0.0,0,0,12,0,0,323.0
42,0.015443098123069612,2,7,108,8,0.0,0,0,10,0,0,287.0
43,0.029698265621287717,1,2,10,4,0.0,0,0,8,0,0,180.0
44,0.08885721073889286,2,2,137,4,44.5,1,0,12,1,0,155.0
45,0.033499643620812536,1,2,11,2,34.5,0,0,12,0,1,108.0
46,0.004989308624376337,1,2,7,4,24.5,0,0,9,0,0,118.0
47,0.026847232121644096,2,4,40,6,40.0,0,0,16,0,1,210.0
48,0.06319790924210028,1,2,25,5,45.0,0,0,14,0,0,132.0
49,0.009978617248752672,1,4,37,5,0.0,0,0,9,0,0,171.0
50,0.014492753623188406,1,2,13,4,50.0,0,0,12,0,1,89.0
51,0.026847232121644096,1,1,9,4,39.5,0,0,14,0,0,143.0
52,0.014492753623188406,1,3,4,4,39.5,0,0,6,0,0,149.0
53,0.02257068187217866,1,3,64,3,40.0,0,0,11,0,0,211.0
54,0.02257068187217866,1,3,46,6,40.0,0,0,8,0,0,200.0
55,0.0030886196246139226,1,1,3,2,40.0,0,1,12,0,0,166.0
56,0.00688999762413875,1,1,30,3,37.5,0,1,7,0,0,158.0
57,0.026847232121644096,1,1,9,4,39.5,0,0,15,0,0,143.0
58,0.0014255167498218105,1,1,6,4,109.5,0,0,8,0,1,170.0
59,0.0014255167498218105,1,3,5,5,40.0,0,0,12,0,0,153.0
60,0.05203136136849608,1,2,71,6,30.0,0,1,8,0,0,187.0
61,0.029698265621287717,1,1,23,5,39.0,0,0,16,0,0,180.0
62,0.0030886196246139226,5,6,6,8,134.5,0,1,12,0,0,807.0
63,0.00974103112378237,3,11,32,12,100.0,0,1,12,0,0,699.0
64,0.08885721073889286,1,2,33,4,65.0,0,0,4,0,0,246.0
65,0.029698265621287717,1,3,17,4,24.5,0,0,12,0,1,117.0
66,0.03183654074602043,2,4,27,6,55.0,0,0,12,0,0,179.0
67,0.02066999287241625,1,1,104,4,24.5,0,0,14,0,0,164.0
68,0.029698265621287717,1,3,5,2,12.0,0,0,14,0,0,128.0
69,0.06319790924210028,1,2,10,4,67.0,0,0,10,0,0,181.0
70,0.01069137562366358,1,4,32,9,67.0,0,0,12,0,1,197.0
71,0.08885721073889286,1,1,109,3,39.5,0,0,6,0,0,166.0
72,0.010453789498693276,1,1,112,2,32.5,0,0,11,0,0,130.0
73,0.0009503444998812071,4,11,22,8,109.5,0,1,10,0,0,629.0
74,0.002613447374673319,1,4,109,10,109.5,0,0,9,0,1,256.0
75,0.009028272748871463,1,2,14,6,74.5,0,1,9,0,0,285.0
76,0.02257068187217866,1,3,64,3,40.0,0,0,11,0,0,211.0
77,0.0009503444998812071,1,1,120,3,0.0,0,0,7,1,0,147.0
