,ID,Check-In,Check-Out,Localização,titulo_2,Número Hóspedes,Número Quartos,Número Camas,Número Banheiros,Plus 1,Plus 2,Plus 3,Plus 4,Avaliação,Número Comentários,Preço/Noite,Preço com taxas,Superhost
452,30123921,2021-03-19,2021-03-21,Itararé,Loft da Bel - frente ao mar,4,Estúdio,3,1,Wi-Fi,Elevador,Self check-In,Vista para o mar,4.89,128,140.0,320.0,Raridade
453,45507297,2021-03-12,2021-03-14,São Paulo,"Apto na quadra da praia Gonzaguinha, São Vicente.",5,1,4,1,Wi-Fi,Cozinha,Permitido animais,Máquina de Lavar,5.0,5,160.0,320.0,Raridade
454,38672853,2021-03-12,2021-03-14,Nova Mirim,Apto 74 pronto para oferecer o melhor pra você!,3,1,3,1,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,4.94,64,211.0,502.0,Raridade
455,15313553,2021-03-12,2021-03-14,Guarujá,Apartamento espaçoso na vx f 3zx00 m do m,4,2,5,2,Cozinha,Estacionamento gratuito,Elevador,Self check-In,4.78,155,163.0,445.0,Raridade
456,32407595,2021-03-12,2021-03-14,Parque Enseada,Apartamento 1 dormitório com piscina e lazer,6,1,1,1,Wi-Fi,Piscina,Cozinha,Estacionamento gratuito,4.67,12,214.0,548.0,Novo preço mais baixo
457,46033720,2021-03-12,2021-03-14,José Menino,"Studio 607, frente ao mar, completo  todo decorado",4,1,2,1,Wi-Fi,Self check-In,Vista para o mar,Ar-condicionado,5.0,9,181.0,496.0,Raridade
458,32646079,2021-03-12,2021-03-14,Santos,Luxo e conforto perto de tudo e da praia,4,Estúdio,2,1,Wi-Fi,Máquina de Lavar,Ar-condicionado,Cozinha,4.95,87,176.0,411.0,Raridade
459,3444492,2021-03-12,2021-03-14,São Vicente,Ilha Porchat. Vista do mar. Wi-Fi e garagem,5,1,4,1,Wi-Fi,Vista para o mar,Cozinha,Estacionamento gratuito,4.81,242,164.0,377.0,Raridade
460,44967118,2021-03-12,2021-03-14,Casa inteira em Centerville,"Kitnet para 2 pessoas ""casa de fundos""",2,1,1,1,Wi-Fi,Máquina de Lavar,Piscina,Estacionamento gratuito,5.0,32,171.0,342.0,Raridade
461,23200086,2021-03-12,2021-03-14,Guarujá,Apto Praia de Pitangueiras - Quadra da Praia,6,1,1,1,Wi-Fi,Elevador,Self check-In,Cozinha,4.83,24,228.0,456.0,Novo preço mais baixo
462,45737808,2021-03-12,2021-03-14,Itararé,Kitnet na Praia dos Milionários Vista Panorâmica,2,Estúdio,1,1,Wi-Fi,Elevador,Vista para o mar,Ar-condicionado,5.0,15,144.0,388.0,Raridade
463,47021279,2021-03-19,2021-03-21,Boqueirão,"#flat31 - 50mbs, Piscina, Churrasqueira e Garagem",3,1,1,1,Wi-Fi,Vista para o mar,Vista para as águas,Piscina,5.0,7,201.0,482.0,Raridade
464,36033418,2021-03-19,2021-03-21,Santos,Flat Estanconfor Santos com Jacuzzi privativa !,4,1,2,1,Wi-Fi,Elevador,Self check-In,Secadora,4.83,47,415.0,908.0,Raridade
465,41819667,2021-03-19,2021-03-21,Casa inteira em Jardim Ana Maria,CASA COM JACUZZI PÉ NA AREIA EM CONDOMINIO FECHADO,10,3,3,2 e meio,Wi-Fi,Self check-In,Vista para o mar,Secadora,4.9,41,685.0,1.369,Raridade
466,20774709,2021-03-19,2021-03-21,"Guarujá, Pitangueiras Centro",Guarujá Centro Pitangueiras Wi-Fi,4,1,3,1,Elevador,Self check-In,Cozinha,Estacionamento gratuito,4.49,97,188.0,456.0,Raridade
467,22469373,2021-03-19,2021-03-21,Vila Assuncao,Apto - Temporada - Praia Grande,6,1,6,1,Wi-Fi,Elevador,Self check-In,Vista para o mar,4.63,38,103.0,205.0,Novo preço mais baixo
468,47294739,2021-03-19,2021-03-21,Vila Julia,Venha desfrutar do melhor do Guarujá,5,1,1,1 e meio,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,3.75,4,110.0,320.0,Raridade
469,42642255,2021-03-19,2021-03-21,Cidade Ocian,Apto aconchegante próximo a praia e comércios,4,1,2,1,Secadora,Cozinha,Estacionamento gratuito,Permitido animais,4.64,14,89.0,278.0,Novo preço mais baixo
470,26770483,2021-03-05,2021-03-07,Centro,"Pitangueiras, Ap 144, Golden Beach, 2 vagas",5,2,3,1,Piscina,Estacionamento gratuito,Wi-Fi,Ar-condicionado,4.81,23,343.0,685.0,Novo preço mais baixo
471,46663945,2021-03-05,2021-03-07,Vila Caiçara,FRENTE AO MAR. APARTAMENTO EM PRAIA GRANDE.,4,1,3,1,Ar-condicionado,Cozinha,Permitido animais,Elevador,4.75,8,146.0,411.0,Raridade
472,31276478,2021-03-05,2021-03-07,Centro,Apartamento de luxo - 50 m da praia - wifi 35 mega,4,Estúdio,1,1,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,4.89,36,176.0,411.0,Raridade
