Unnamed: 0,ID,Check-In,Check-Out,Localização,titulo_2,Número Hóspedes,Número Quartos,Número Camas,Número Banheiros,Plus 1,Plus 2,Plus 3,Plus 4,Avaliação,Número Comentários,Superhost,Preço/Noite,Preço com taxas
7101,33346325,2021-03-05,2021-03-07,Quarto de albergue em Vila São Paulo,Aloha Hostel 300m da praia do centro!,4,1,3,1 privado,Wi-Fi,Cozinha,Estacionamento gratuito,Máquina de Lavar,4.94,16,Novo preço mais baixo,206.0,411.0
7102,38615495,2021-03-05,2021-03-07,Casa inteira em Peruíbe,Casa Top no litoral de SP,16,5,16,4,Wi-Fi,Ar-condicionado,Piscina,Cozinha,4.93,27,Raridade,578.0,1415.0
7103,46743206,2021-03-12,2021-03-14,Vila Tupi,Lindo apartamento na praia da Praia Grande,4,1,2,1,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,4.5,6,Raridade,191.0,502.0
7105,47061095,2021-03-26,2021-03-28,Vila Atlântica,Pé na areia com vista para o Mar em Mongaguá.,6,2,6,2,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,5.0,3,Raridade,380.0,879.0
7106,46189306,2021-03-05,2021-03-07,Mongaguá,Maravilhosa Vista Mar,7,2,6,2,Piscina,Estacionamento gratuito,Wi-Fi,Cozinha,5.0,7,Raridade,521.0,1141.0
7107,30936409,2021-03-05,2021-03-07,Morumbi,FLAT I RESIDENCIAL BROOKLIN (COND. NYC BERRINI),2,1,1,1 e meio,Wi-Fi,Ar-condicionado,Piscina,Cozinha,4.93,69,Raridade,245.0,580.0
7108,17667161,2021-03-05,2021-03-07,São Paulo,5  ⭐ Studio Moderno no Brooklin com Concierge  ⭐,2,1,1,1,Wi-Fi,Ar-condicionado,Piscina,Cozinha,4.83,256,Raridade,296.0,656.0
7109,34179182,2021-03-05,2021-03-07,Quarto de albergue em Vila São Paulo,Aloha Hostel 300m da praia do centro!,5,1,4,1 compartilhado,Wi-Fi,Cozinha,Estacionamento gratuito,Máquina de Lavar,5.0,7,Novo preço mais baixo,206.0,411.0
7110,24629261,2021-03-05,2021-03-07,Chalé inteiro em Cidade Dutra,Chalé Interlagos.. Autódromo.  cond Fechado,6,2,4,1,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,4.89,35,Raridade,278.0,641.0
7113,45591346,2021-03-05,2021-03-07,Casa inteira em Estância Bal Maria H Novaes,"Piscina, Diversão, Sossego e Segurança!",6,3,4,3,Piscina,Estacionamento gratuito,Wi-Fi,Cozinha,4.89,9,Raridade,559.0,1267.0
7114,46197271,2021-03-12,2021-03-14,Casa inteira em Jardim Peruibe,Lar Doce Lar-Casa para final de semana e temporada,8,3,5,2,Wi-Fi,Piscina,Cozinha,Estacionamento gratuito,5.0,10,Raridade,457.0,913.0
7115,38696495,2021-03-12,2021-03-14,Morumbi,FLAT II RESIDENCIAL BROOKLIN (COND. NYC BERRINI),2,1,1,1 e meio,Wi-Fi,Elevador,Self check-In,Secadora,4.97,118,Raridade,265.0,620.0
7116,45569612,2021-03-12,2021-03-14,Vila Olímpia,SUPER OFERTA FLAT PERTO DA HÍPICA,2,1,2,1,Elevador,Academia,Ar-condicionado,Piscina,4.41,32,Raridade,109.0,217.0
7117,21753308,2021-03-05,2021-03-07,Santo Amaro,Studio Now - Moderno - ZonaSul - Ótima Localização,3,1,2,1,Wi-Fi,Elevador,Self check-In,Secadora,4.9,173,Raridade,139.0,342.0
7118,46121416,2021-03-05,2021-03-07,Chácara Santo Antônio (Zona Sul),Meu cantinho aconchegante te espera,2,1,1,1,Wi-Fi,Self check-In,Máquina de Lavar,Cozinha,5.0,3,Raridade,167.0,434.0
7119,39056674,2021-03-05,2021-03-07,Casa inteira em Quinta do Guarau,Casa no centrinho do GUARAÚ.,5,2,4,1,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,4.96,45,Raridade,310.0,719.0
7120,45973067,2021-03-05,2021-03-07,Vilamar,"Kitão a beira mar, Praia Grande/SP, Bairro Caiçara",6,1,3,1,Cozinha,Estacionamento gratuito,Permitido animais,Vista para o mar,4.67,6,Raridade,171.0,342.0
7121,46197271,2021-03-26,2021-03-28,Casa inteira em Jardim Peruibe,Lar Doce Lar-Casa para final de semana e temporada,8,3,5,2,Piscina,Estacionamento gratuito,Wi-Fi,Cozinha,5.0,10,Raridade,457.0,913.0
7122,45638464,2021-03-26,2021-03-28,Casa inteira em Califórnia,Casa com piscina em Itanhaém pertinho da praia,10,2,8,2,Piscina,Estacionamento gratuito,Wi-Fi,Cozinha,5.0,22,Raridade,730.0,1609.0
7123,28608724,2021-03-26,2021-03-28,Casa inteira em Peruíbe,"Raridade! Moderna! Wi-Fi
 150m da praia. No Oásis.",12,5,11,3 e meio,Piscina,Estacionamento gratuito,Wi-Fi,Cozinha,4.88,32,Raridade,699.0,1598.0
7125,47336936,2021-03-05,2021-03-07,Embaré,Studio super aconchegante frente praia com garagem,4,1,1,1,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,5.0,4,Raridade,141.0,391.0
7127,28634724,2021-03-05,2021-03-07,Aviação,Lindo apartamento em Praia Grande vista para o mar,6,1,3,1,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,4.86,14,Raridade,228.0,456.0
7128,24488673,2021-03-19,2021-03-21,Centro,1  dorm.São Vicente com ar condicionado,5,1,2,1,Wi-Fi,Elevador,Self check-In,Ar-condicionado,4.69,61,Novo preço mais baixo,102.0,203.0
